item,ARWU_university_ID,GRID_ID
http://www.wikidata.org/entity/Q1202039,Royal-Holloway-University-of-London,grid.4970.a
http://www.wikidata.org/entity/Q1202292,Griffith-University,grid.1022.1
http://www.wikidata.org/entity/Q1245999,University-of-Siena,grid.9024.f
http://www.wikidata.org/entity/Q1248821,University-of-Catania,grid.8158.4
http://www.wikidata.org/entity/Q1312762,Swedish-University-of-Agricultural-Sciences,grid.6341.0
http://www.wikidata.org/entity/Q1322412,Saitama-University,grid.263023.6
http://www.wikidata.org/entity/Q1357517,University-of-Oulu,grid.10858.34
http://www.wikidata.org/entity/Q1478723,La-Trobe-University,grid.1018.8
http://www.wikidata.org/entity/Q1519696,Prince-of-Songkla-University,grid.7130.5
http://www.wikidata.org/entity/Q1627967,Liverpool-John-Moores-University,grid.4425.7
http://www.wikidata.org/entity/Q1640726,National-Technical-University-of-Athens,grid.4241.3
http://www.wikidata.org/entity/Q1641504,University-of-Palermo,grid.10776.37
http://www.wikidata.org/entity/Q1939211,Mississippi-State-University,grid.260120.7
http://www.wikidata.org/entity/Q4810943,Erciyes-University,grid.411739.9
http://www.wikidata.org/entity/Q5814528,Federal-University-of-Viçosa,grid.12799.34
http://www.wikidata.org/entity/Q4614,University-of-Southern-California,grid.42505.36
http://www.wikidata.org/entity/Q15568,The-University-of-Hong-Kong,grid.194645.b
http://www.wikidata.org/entity/Q15570,The-Chinese-University-of-Hong-Kong,grid.10784.3a
http://www.wikidata.org/entity/Q24543,Pompeu-Fabra-University,grid.5612.0
http://www.wikidata.org/entity/Q28695,University-of-Helsinki,grid.7737.4
http://www.wikidata.org/entity/Q29673,University-of-Minho,grid.10328.38
http://www.wikidata.org/entity/Q32120,University-of-Halle-Wittenberg,grid.9018.0
http://www.wikidata.org/entity/Q35794,University-of-Cambridge,grid.5335.0
http://www.wikidata.org/entity/Q39913,Seoul-National-University,grid.31501.36
http://www.wikidata.org/entity/Q41085,Sungkyunkwan-University,grid.264381.a
http://www.wikidata.org/entity/Q41506,Stanford-University,grid.168010.e
http://www.wikidata.org/entity/Q43401,National-Chiao-Tung-University,grid.260539.b
http://www.wikidata.org/entity/Q49118,Boston-College,grid.208226.c
http://www.wikidata.org/entity/Q49165,Amherst-College,grid.252152.3
http://www.wikidata.org/entity/Q49213,The-University-of-Texas-at-Austin,grid.89336.37
http://www.wikidata.org/entity/Q54096,University-of-Cologne,grid.6190.e
http://www.wikidata.org/entity/Q76473,University-of-Southampton,grid.5491.9
http://www.wikidata.org/entity/Q144488,University-of-Warsaw,grid.12847.38
http://www.wikidata.org/entity/Q156737,University-of-Kiel,grid.9764.c
http://www.wikidata.org/entity/Q175241,University-of-Antwerp,grid.5284.b
http://www.wikidata.org/entity/Q180865,University-of-Toronto,grid.17063.33
http://www.wikidata.org/entity/Q196559,University-of-Iceland,grid.14013.37
http://www.wikidata.org/entity/Q204457,University-of-Bergen,grid.7914.b
http://www.wikidata.org/entity/Q219317,University-of-Pavia,grid.8982.b
http://www.wikidata.org/entity/Q262854,Lancaster-University,grid.9835.7
http://www.wikidata.org/entity/Q270532,University-of-Aberdeen,grid.7107.1
http://www.wikidata.org/entity/Q273263,RWTH-Aachen-University,grid.1957.a
http://www.wikidata.org/entity/Q273638,ESPCI-ParisTech,grid.15736.36
http://www.wikidata.org/entity/Q287072,University-of-Burgundy,grid.5613.1
http://www.wikidata.org/entity/Q332498,Brigham-Young-University,grid.253294.b
http://www.wikidata.org/entity/Q369839,University-of-Szeged,grid.9008.1
http://www.wikidata.org/entity/Q459506,University-of-Bristol,grid.5337.2
http://www.wikidata.org/entity/Q472316,University-of-Nottingham,grid.4563.4
http://www.wikidata.org/entity/Q487836,Gyeongsang-National-University,grid.256681.e
http://www.wikidata.org/entity/Q491714,Chungbuk-National-University,grid.254229.a
http://www.wikidata.org/entity/Q500154,University-of-Arkansas-at-Little-Rock,grid.265960.e
http://www.wikidata.org/entity/Q503424,University-of-Leeds,grid.9909.9
http://www.wikidata.org/entity/Q586904,Federal-University-of-Rio-de-Janeiro,grid.8536.8
http://www.wikidata.org/entity/Q604470,Shandong-University,grid.27255.37
http://www.wikidata.org/entity/Q622137,Lehigh-University,grid.259029.5
http://www.wikidata.org/entity/Q626804,Mahidol-University,grid.10223.32
http://www.wikidata.org/entity/Q632004,Radboud-University-Nijmegen,grid.5590.9
http://www.wikidata.org/entity/Q632891,McMaster-University,grid.25073.33
http://www.wikidata.org/entity/Q633529,Erasmus-University-Rotterdam,grid.6906.9
http://www.wikidata.org/entity/Q633561,University-of-Zaragoza,grid.11205.37
http://www.wikidata.org/entity/Q644478,National-University-of-Ireland-Galway,grid.6142.1
http://www.wikidata.org/entity/Q649882,Yunnan-University,grid.440773.3
http://www.wikidata.org/entity/Q679134,University-of-Paderborn,grid.5659.f
http://www.wikidata.org/entity/Q689400,Vienna-University-of-Technology,grid.5329.d
http://www.wikidata.org/entity/Q699543,National-Taiwan-University-of-Science-and-Technology,grid.45907.3f
http://www.wikidata.org/entity/Q700801,Kaohsiung-Medical-University,grid.412019.f
