item,QS_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q3135913,savitribai-phule-pune-university,grid.32056.32
http://www.wikidata.org/entity/Q3182943,bournemouth-university,grid.17236.31
http://www.wikidata.org/entity/Q3298919,vellore-institute-technology-vit,grid.412813.d
http://www.wikidata.org/entity/Q3732873,escuela-superior-politecnica-del-litoral-espol,grid.442143.4
http://www.wikidata.org/entity/Q3997314,universidad-eafit,grid.448637.a
http://www.wikidata.org/entity/Q4823399,universidad-austral,grid.412850.a
http://www.wikidata.org/entity/Q5174858,instituto-tecnologico-de-costa-rica-tec,grid.441034.6
http://www.wikidata.org/entity/Q5242548,universidad-de-san-andres-udesa,grid.441741.3
http://www.wikidata.org/entity/Q6979260,universidad-nacional-de-mar-del-plata,grid.412221.6
http://www.wikidata.org/entity/Q7894232,universidad-anahuac,grid.412847.c
http://www.wikidata.org/entity/Q7894273,universidad-externado-de-colombia,grid.442169.c
http://www.wikidata.org/entity/Q7894286,universidad-metropolitana,grid.442100.3
http://www.wikidata.org/entity/Q7894343,universidad-del-norte,grid.412188.6
http://www.wikidata.org/entity/Q7895617,universidad-de-la-sabana,grid.412166.6
http://www.wikidata.org/entity/Q13139758,lahore-university-management-sciences-lums,grid.440540.1
http://www.wikidata.org/entity/Q21574120,samara-national-research-university-samara-university,grid.79011.3e
http://www.wikidata.org/entity/Q40006,hanyang-university,grid.49606.3d
http://www.wikidata.org/entity/Q49120,tufts-university,grid.429997.8
http://www.wikidata.org/entity/Q51985,technische-universitat-berlin-tu-berlin,grid.6734.6
http://www.wikidata.org/entity/Q65379,virginia-polytechnic-institute-state-university,grid.438526.e
http://www.wikidata.org/entity/Q76473,university-southampton,grid.5491.9
http://www.wikidata.org/entity/Q152838,university-gottingen,grid.7450.6
http://www.wikidata.org/entity/Q157575,universite-de-strasbourg,grid.11843.3f
http://www.wikidata.org/entity/Q160302,university-edinburgh,grid.4305.2
http://www.wikidata.org/entity/Q164028,universidad-de-guadalajara-udg,grid.412890.6
http://www.wikidata.org/entity/Q165980,university-vienna,grid.10420.37
http://www.wikidata.org/entity/Q174570,london-school-economics-political-science-lse,grid.13063.37
http://www.wikidata.org/entity/Q189022,imperial-college-london,grid.7445.2
http://www.wikidata.org/entity/Q192775,university-glasgow,grid.8756.c
http://www.wikidata.org/entity/Q196544,aligarh-muslim-university-amu-aligarh,grid.411340.3
http://www.wikidata.org/entity/Q197543,zhejiang-university,grid.13402.34
http://www.wikidata.org/entity/Q217741,purdue-university,grid.169077.e
http://www.wikidata.org/entity/Q218506,lund-university,grid.4514.4
http://www.wikidata.org/entity/Q220144,soas-university-london,grid.22631.34
http://www.wikidata.org/entity/Q230899,university-manchester,grid.5379.8
http://www.wikidata.org/entity/Q262663,university-san-diego,grid.267102.0
http://www.wikidata.org/entity/Q262760,epfl-ecole-polytechnique-federale-de-lausanne,grid.5333.6
http://www.wikidata.org/entity/Q273523,ecole-des-ponts-paristech,grid.424447.5
http://www.wikidata.org/entity/Q273535,hec-paris-school-management,grid.434184.e
http://www.wikidata.org/entity/Q274486,waseda-university,grid.5290.e
http://www.wikidata.org/entity/Q279724,university-tromso-arctic-university-norway,grid.10919.30
http://www.wikidata.org/entity/Q280247,universidade-federal-fluminense,grid.411173.1
http://www.wikidata.org/entity/Q314536,norwegian-university-science-technology,grid.5947.f
http://www.wikidata.org/entity/Q319078,university-melbourne,grid.1008.9
http://www.wikidata.org/entity/Q368643,university-coimbra,grid.8051.c
http://www.wikidata.org/entity/Q378134,universite-catholique-de-louvain-ucl,grid.7942.8
http://www.wikidata.org/entity/Q391028,university-british-columbia,grid.17091.3e
http://www.wikidata.org/entity/Q392667,wake-forest-university,grid.241167.7
http://www.wikidata.org/entity/Q392897,politecnico-di-torino,grid.4800.c
http://www.wikidata.org/entity/Q458393,durham-university,grid.8250.f
http://www.wikidata.org/entity/Q475700,university-western-cape,grid.8974.2
http://www.wikidata.org/entity/Q488334,university-seoul,grid.267134.5
http://www.wikidata.org/entity/Q491711,sejong-university,grid.263333.4
http://www.wikidata.org/entity/Q491717,university-ulsan,grid.267370.7
http://www.wikidata.org/entity/Q492467,university-auckland,grid.9654.e
http://www.wikidata.org/entity/Q496536,kyung-hee-university,grid.289247.2
http://www.wikidata.org/entity/Q519427,university-denver,grid.266239.a
http://www.wikidata.org/entity/Q579968,university-missouri-columbia,grid.134936.a
http://www.wikidata.org/entity/Q597236,washington-state-university,grid.30064.31
http://www.wikidata.org/entity/Q600634,pontificia-universidade-catolica-do-rio-grande-do-sul-pucrs,grid.412519.a
http://www.wikidata.org/entity/Q604629,bi-norwegian-business-school,grid.413074.5
http://www.wikidata.org/entity/Q606140,university-waikato,grid.49481.30
http://www.wikidata.org/entity/Q611723,ryerson-university,grid.68312.3e
http://www.wikidata.org/entity/Q611995,universidad-adolfo-ibanez,grid.440617.0
http://www.wikidata.org/entity/Q622137,lehigh-university,grid.259029.5
http://www.wikidata.org/entity/Q627969,university-ottawa,grid.28046.38
http://www.wikidata.org/entity/Q630226,university-pacific,grid.254662.1
http://www.wikidata.org/entity/Q649998,university-nairobi,grid.10604.33
