item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q1857773,university-central-lancashire,grid.7943.9
http://www.wikidata.org/entity/Q1973888,university-west-bohemia,grid.22557.37
http://www.wikidata.org/entity/Q2034790,east-china-normal-university,grid.22069.3f
http://www.wikidata.org/entity/Q2119752,university-urbino-carlo-bo,grid.12711.34
http://www.wikidata.org/entity/Q2302586,aix-marseille-university,grid.5399.6
http://www.wikidata.org/entity/Q2413375,open-university,grid.10837.3d
http://www.wikidata.org/entity/Q2579532,universite-de-sherbrooke,grid.86715.3d
http://www.wikidata.org/entity/Q2749558,federal-university-ceara-ufc,grid.8395.7
http://www.wikidata.org/entity/Q3551402,de-montfort-university,grid.48815.30
http://www.wikidata.org/entity/Q3695910,teesside-university,grid.26597.3f
http://www.wikidata.org/entity/Q4748684,amrita-university,grid.411370.0
http://www.wikidata.org/entity/Q5520696,gitam-university,grid.411710.2
http://www.wikidata.org/entity/Q19203245,centralesupelec,grid.494567.d
http://www.wikidata.org/entity/Q41497113,sorbonne-university,
http://www.wikidata.org/entity/Q4614,university-southern-california,grid.42505.36
http://www.wikidata.org/entity/Q7842,university-tokyo,grid.26999.3d
http://www.wikidata.org/entity/Q15568,university-hong-kong,grid.194645.b
http://www.wikidata.org/entity/Q24382,bielefeld-university,grid.7491.b
http://www.wikidata.org/entity/Q27621,saint-petersburg-state-university,grid.15447.33
http://www.wikidata.org/entity/Q29052,vanderbilt-university,grid.152326.1
http://www.wikidata.org/entity/Q40018,pohang-university-science-and-technology,grid.49100.3c
http://www.wikidata.org/entity/Q40025,university-erlangen-nuremberg,grid.5330.5
http://www.wikidata.org/entity/Q41085,sungkyunkwan-university-skku,grid.264381.a
http://www.wikidata.org/entity/Q43401,national-chiao-tung-university,grid.260539.b
http://www.wikidata.org/entity/Q43406,national-tsing-hua-university,grid.38348.34
http://www.wikidata.org/entity/Q49206,university-connecticut,grid.63054.34
http://www.wikidata.org/entity/Q49213,university-texas-austin,grid.89336.37
http://www.wikidata.org/entity/Q54096,university-cologne-0,grid.6190.e
http://www.wikidata.org/entity/Q115220,hiroshima-university,grid.257022.0
http://www.wikidata.org/entity/Q153987,university-freiburg,grid.5963.9
http://www.wikidata.org/entity/Q154561,friedrich-schiller-university-jena,grid.9613.d
http://www.wikidata.org/entity/Q156737,university-kiel,grid.9764.c
http://www.wikidata.org/entity/Q161976,university-wurzburg,grid.8379.5
http://www.wikidata.org/entity/Q168426,university-munster,grid.5949.1
http://www.wikidata.org/entity/Q168515,university-utah,grid.223827.e
http://www.wikidata.org/entity/Q174710,university-california-los-angeles,grid.19006.3e
http://www.wikidata.org/entity/Q175241,university-antwerp,grid.5284.b
http://www.wikidata.org/entity/Q180865,university-toronto,grid.17063.33
http://www.wikidata.org/entity/Q182973,university-iowa,grid.214572.7
http://www.wikidata.org/entity/Q192334,university-north-carolina-chapel-hill,grid.10698.36
http://www.wikidata.org/entity/Q204457,university-bergen,grid.7914.b
http://www.wikidata.org/entity/Q206702,university-zurich,grid.7400.3
http://www.wikidata.org/entity/Q213439,university-virginia,grid.27755.32
http://www.wikidata.org/entity/Q219615,university-barcelona,grid.5841.8
http://www.wikidata.org/entity/Q221653,utrecht-university,grid.5477.1
http://www.wikidata.org/entity/Q222738,national-autonomous-university-mexico,grid.9486.3
http://www.wikidata.org/entity/Q230492,university-michigan,grid.214458.e
http://www.wikidata.org/entity/Q232141,university-chile,grid.443909.3
http://www.wikidata.org/entity/Q263064,university-california-santa-barbara,grid.133342.4
http://www.wikidata.org/entity/Q270532,university-aberdeen,grid.7107.1
http://www.wikidata.org/entity/Q273263,rwth-aachen-university,grid.1957.a
http://www.wikidata.org/entity/Q280824,eindhoven-university-technology,grid.6852.9
http://www.wikidata.org/entity/Q282097,oregon-health-and-science-university,grid.5288.7
http://www.wikidata.org/entity/Q371522,university-gothenburg,grid.8761.8
http://www.wikidata.org/entity/Q392904,polytechnic-university-milan,grid.4643.5
http://www.wikidata.org/entity/Q422208,wageningen-university-research,grid.4818.5
http://www.wikidata.org/entity/Q432637,george-washington-university,grid.253615.6
http://www.wikidata.org/entity/Q457281,university-illinois-urbana-champaign,grid.35403.31
http://www.wikidata.org/entity/Q486156,university-oslo,grid.5510.1
http://www.wikidata.org/entity/Q501758,university-florida,grid.15276.37
http://www.wikidata.org/entity/Q503424,university-leeds,grid.9909.9
http://www.wikidata.org/entity/Q547867,national-and-kapodistrian-university-athens,grid.5216.0
http://www.wikidata.org/entity/Q579321,dalhousie-university,grid.55602.34
http://www.wikidata.org/entity/Q604470,shandong-university,grid.27255.37
http://www.wikidata.org/entity/Q644478,national-university-ireland-galway,grid.6142.1
http://www.wikidata.org/entity/Q649868,hunan-university,grid.67293.39
http://www.wikidata.org/entity/Q658975,university-lausanne,grid.9851.5
http://www.wikidata.org/entity/Q667568,aristotle-university-thessaloniki,grid.4793.9
http://www.wikidata.org/entity/Q681025,university-buffalo,grid.273335.3
